Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice,Country_Encoded
TREASURE TIN BUFFALO BILL ,-0.038968256244874204,2011-11-11 12:44:00,-0.04690446394653453,15034,United Kingdom,-0.03208651417564818,35
CERAMIC CAKE BOWL + HANGING CAKES,-0.005510674390618371,2011-07-13 12:24:00,-0.007534115934443245,12528,Germany,0.04207128688380495,14
CHRISTMAS TABLE SILVER CANDLE SPIKE,0.01679438017888552,2011-10-04 08:56:00,-0.10347105591793004,15111,United Kingdom,-0.029498109252107062,35
RED KITCHEN SCALES,-0.06127331081437809,2011-07-14 14:46:00,0.24362155241855282,14156,EIRE,-0.01746202635764085,10
JUMBO BAG RED RETROSPOT,1.0428268903760642,2011-03-30 10:54:00,-0.0663633715846946,13802,United Kingdom,0.9952513999778227,35
BIRD DECORATION RED RETROSPOT,-0.005510674390618371,2011-05-06 09:00:00,-0.10256599044638771,13952,United Kingdom,-0.03946346820774038,35
LUNCH BAG WOODLAND,-0.016663201675370314,2011-08-17 12:04:00,-0.0663633715846946,12473,Germany,-0.01907977943485405,14
LUNCH BAG VINTAGE DOILY ,-0.016663201675370314,2011-11-10 13:44:00,-0.0663633715846946,13266,United Kingdom,-0.01907977943485405,35
PACK OF 72 RETROSPOT CAKE CASES,-0.06684957445675406,2011-11-22 16:47:00,-0.11614197251952264,16376,United Kingdom,-0.07068610259795514,35
LUNCH BAG VINTAGE DOILY ,0.09486207117214912,2011-12-06 12:09:00,-0.0663633715846946,14735,United Kingdom,0.08769192366121718,35
GARDENERS KNEELING PAD KEEP CALM ,-0.050120783529626144,2011-10-28 12:09:00,-0.0663633715846946,14498,United Kingdom,-0.05111129036367542,35
FOUR HOOK  WHITE LOVEBIRDS,-0.038968256244874204,2011-04-15 09:27:00,-0.0459993984749922,13952,United Kingdom,-0.03169825343711701,35
GINGERBREAD MAN COOKIE CUTTER,-0.05569704717200212,2011-09-13 11:34:00,-0.08446468101554117,17228,United Kingdom,-0.06033248290379067,35
PAPER BUNTING COLOURED LACE,-0.038968256244874204,2011-05-22 12:51:00,-0.007534115934443245,14921,United Kingdom,-0.01519717204954236,35
JUMBO BAG STRAWBERRY,-0.016663201675370314,2011-03-03 12:24:00,-0.05278738951155967,18218,United Kingdom,-0.009373260971574846,35
CHARLOTTE BAG PINK POLKADOT,0.48520052613846715,2011-07-25 16:39:00,-0.10844891601141285,15372,United Kingdom,0.16049081213581123,35
GIN + TONIC DIET METAL SIGN,-0.005510674390618371,2011-09-21 10:48:00,-0.025635425365289826,18228,United Kingdom,0.0265408573425582,35
BAKING SET SPACEBOY DESIGN,-0.05569704717200212,2011-11-13 11:44:00,0.08297243121978959,17920,United Kingdom,-0.02441836458965761,35
JUMBO STORAGE BAG SKULLS,-0.06127331081437809,2011-04-11 16:17:00,-0.04690446394653453,13634,United Kingdom,-0.05900592538047584,35
CLASSIC METAL BIRDCAGE PLANT HOLDER,-0.06684957445675406,2011-06-19 12:47:00,0.4359479651212976,18109,United Kingdom,-0.031212927513953055,35
WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.1952348167349166,2011-10-23 14:47:00,-0.12790782364957293,15427,United Kingdom,-0.027427385313274173,35
RETROSPOT HEART HOT WATER BOTTLE,-0.05569704717200212,2011-11-24 15:01:00,0.08297243121978959,14277,France,-0.02441836458965761,13
GIN + TONIC DIET METAL SIGN,11.080101446652815,2011-04-18 13:20:00,-0.06455324064160994,15749,United Kingdom,10.863545170978346,35
PACK OF 6 BIRDY GIFT TAGS,-0.06684957445675406,2010-12-07 15:39:00,-0.08446468101554117,17591,United Kingdom,-0.06842124828985667,35
EMBROIDERED RIBBON REEL REBECCA ,-0.06127331081437809,2011-10-30 16:12:00,-0.010249312349070233,15444,United Kingdom,-0.05376440541030507,35
BLUE EGG  SPOON,0.061404489317893295,2011-07-04 14:36:00,-0.1356008801576827,12705,Germany,-0.06314737325814164,14
JUMBO STORAGE BAG SKULLS,-0.016663201675370314,2011-06-22 14:01:00,-0.04690446394653453,15810,United Kingdom,-0.005167102970820523,35
SOLDIERS EGG CUP ,-0.005510674390618371,2011-08-10 15:29:00,-0.08446468101554117,15494,United Kingdom,-0.023933038666493652,35
DECORATIVE WICKER HEART MEDIUM,-0.038968256244874204,2011-10-02 12:04:00,-0.08446468101554117,15774,United Kingdom,-0.04819933482469166,35
SKULL DESIGN TV DINNER TRAY,-0.06684957445675406,2011-02-23 14:29:00,0.08297243121978959,14606,United Kingdom,-0.056449875518478985,35
VINTAGE HEADS AND TAILS CARD GAME ,-0.005510674390618371,2011-06-12 11:37:00,-0.08446468101554117,12516,Germany,-0.023933038666493652,14
STRAWBERRY CERAMIC TRINKET BOX,0.061404489317893295,2011-03-15 13:13:00,-0.08446468101554117,12779,Poland,0.024599553649902368,25
JUMBO BAG RED RETROSPOT,-0.016663201675370314,2011-04-04 12:37:00,-0.05278738951155967,13294,United Kingdom,-0.009373260971574846,35
ROLL WRAP VINTAGE CHRISTMAS,-0.06684957445675406,2011-09-11 11:08:00,-0.08446468101554117,15035,United Kingdom,-0.06842124828985667,35
VICTORIAN GLASS HANGING T-LIGHT,0.061404489317893295,2011-08-11 12:58:00,-0.08446468101554117,17340,United Kingdom,0.024599553649902368,35
OFFICE MUG WARMER BLACK+SILVER ,-0.038968256244874204,2011-04-07 11:37:00,-0.007534115934443245,13102,United Kingdom,-0.01519717204954236,35
LADS ONLY TISSUE BOX,-0.016663201675370314,2011-08-07 14:34:00,-0.12338249629186127,15640,United Kingdom,-0.059847156980626696,35
CAKE PLATE LOVEBIRD PINK,-0.06684957445675406,2011-02-24 15:26:00,0.08297243121978959,15543,United Kingdom,-0.056449875518478985,35
MULTI COLOUR SILVER T-LIGHT HOLDER,-0.005510674390618371,2011-04-28 12:49:00,-0.10256599044638771,17720,United Kingdom,-0.03946346820774038,35
RIBBON REEL SNOWY VILLAGE,-0.044544519887250174,2011-10-04 13:10:00,-0.0663633715846946,16440,United Kingdom,-0.04577270520887186,35
CAKE STAND LOVEBIRD 2 TIER PINK,-0.06684957445675406,2011-02-24 15:26:00,0.3092387991053716,15543,United Kingdom,-0.04027234474634698,35
LOVE HOT WATER BOTTLE,-0.06684957445675406,2011-11-14 14:51:00,0.128225704796906,15532,United Kingdom,-0.053214369364052584,35
HOMEMADE JAM SCENTED CANDLES,0.061404489317893295,2011-02-15 09:35:00,-0.07541402630011788,15601,United Kingdom,0.040129983191149084,35
PINK CREAM FELT CRAFT TRINKET BOX ,-0.005510674390618371,2011-11-25 11:58:00,-0.08446468101554117,12748,United Kingdom,-0.023933038666493652,35
WHITE METAL LANTERN,-0.038968256244874204,2011-09-06 12:02:00,0.02866850292724988,14715,United Kingdom,0.00033325749170435746,35
OVEN MITT APPLES DESIGN,-0.016663201675370314,2011-08-04 14:20:00,-0.07541402630011788,12626,Germany,-0.025550791743706853,14
HOT WATER BOTTLE TEA AND SYMPATHY,-0.038968256244874204,2011-11-28 14:39:00,0.05129513971580809,14562,United Kingdom,0.010039775954983562,35
LUNCH BAG  BLACK SKULL.,-0.06684957445675406,2011-04-11 15:25:00,-0.0663633715846946,14606,United Kingdom,-0.06712704582808611,35
LARGE WHITE HEART OF WICKER,-0.06127331081437809,2011-11-29 11:32:00,-0.007534115934443245,18118,United Kingdom,-0.053376144671773894,35
BAG 125g SWIRLY MARBLES,0.32906514415193994,2011-05-08 12:31:00,-0.12202489808454779,18142,United Kingdom,0.025376075126964697,35
PRETTY HANGING QUILTED HEARTS,-0.005510674390618371,2011-09-09 11:46:00,-0.10347105591793004,15249,United Kingdom,-0.04023998968480272,35
JUMBO BAG APPLES,-0.05569704717200212,2011-10-19 11:52:00,-0.04690446394653453,16440,United Kingdom,-0.05227607257926893,35
SET OF 4 PANTRY JELLY MOULDS,-0.005510674390618371,2011-12-07 12:43:00,-0.08446468101554117,18272,United Kingdom,-0.023933038666493652,35
PICNIC BASKET WICKER LARGE,-0.050120783529626144,2011-02-23 14:40:00,0.3092387991053716,17504,United Kingdom,0.05630751396328109,35
WOODLAND MINI BACKPACK,-0.06127331081437809,2011-12-02 13:49:00,0.04676981235809646,13780,United Kingdom,-0.04561092990115054,35
LOVE HOT WATER BOTTLE,-0.005510674390618371,2011-12-08 18:03:00,0.128225704796906,17675,United Kingdom,0.1585495084431554,35
BALLOON PUMP WITH 10 BALLOONS,-0.06684957445675406,2011-12-06 11:05:00,-0.05278738951155967,14562,United Kingdom,-0.0661563939817582,35
FANCY FONTS BIRTHDAY WRAP,0.06698075296026927,2011-09-22 13:38:00,-0.12202489808454779,13220,United Kingdom,-0.038492816361412455,35
3D TRADITIONAL CHRISTMAS STICKERS,-0.06684957445675406,2011-11-10 14:59:00,-0.08446468101554117,18283,United Kingdom,-0.06842124828985667,35
ANTIQUE HEART SHELF UNIT,-0.06684957445675406,2011-10-30 13:06:00,0.6124357320720516,12597,Spain,-0.018594453511690093,30
PACK OF 12 TRADITIONAL CRAYONS,-0.06684957445675406,2011-10-10 12:35:00,-0.12202489808454779,14606,United Kingdom,-0.07110671839803058,35
CHARLIE + LOLA RED HOT WATER BOTTLE,0.12831965302640497,2010-12-03 15:16:00,-0.025635425365289826,15769,United Kingdom,0.22455383399345397,35
PANTRY SCRUBBING BRUSH,-0.06127331081437809,2011-10-09 10:48:00,-0.0663633715846946,13259,United Kingdom,-0.061788460673282544,35
TWO DOOR CURIO CABINET,-0.06684957445675406,2011-07-14 09:54:00,0.4359479651212976,16719,United Kingdom,-0.031212927513953055,35
LAUNDRY 15C METAL SIGN,-0.050120783529626144,2011-08-01 17:37:00,-0.07541402630011788,16984,United Kingdom,-0.05369969528721654,35
HAPPY STENCIL CRAFT,0.005641852894133573,2011-08-03 12:54:00,-0.08446468101554117,16324,United Kingdom,-0.01584427328042765,35
SMALL FOLDING SCISSOR(POINTED EDGE),-0.005510674390618371,2011-08-08 12:34:00,-0.1356008801576827,15311,United Kingdom,-0.06780650212051564,35
HANGING HEART ZINC T-LIGHT HOLDER,-0.005510674390618371,2011-01-06 10:46:00,-0.10256599044638771,15271,United Kingdom,-0.03946346820774038,35
6 GIFT TAGS 50'S CHRISTMAS ,-0.005510674390618371,2011-10-17 09:37:00,-0.10347105591793004,12526,Germany,-0.04023998968480272,14
PLASTERS IN TIN VINTAGE PAISLEY ,-0.005510674390618371,2011-10-13 11:50:00,-0.0663633715846946,12766,Portugal,-0.008402609125246934,26
ENAMEL FLOWER JUG CREAM,-0.05569704717200212,2011-04-12 15:32:00,0.128225704796906,17204,United Kingdom,-0.014711846126378403,35
TEA PARTY BIRTHDAY CARD,-0.005510674390618371,2011-10-05 15:52:00,-0.12202489808454779,12723,France,-0.05615867996458061,13
WHITE HANGING HEART T-LIGHT HOLDER,0.10601459845690107,2011-01-09 11:41:00,-0.025635425365289826,13758,United Kingdom,0.19155167121830466,35
DOORSTOP RACING CAR DESIGN,-0.06684957445675406,2011-10-10 13:33:00,0.02866850292724988,17841,United Kingdom,-0.06033248290379067,35
SILVER PHOTO FRAME,-0.038968256244874204,2010-12-12 10:48:00,-0.0459993984749922,14800,United Kingdom,-0.03169825343711701,35
CHOCOLATE THIS WAY METAL SIGN,-0.005510674390618371,2011-12-02 14:25:00,-0.0459993984749922,18055,United Kingdom,0.00906912410865565,35
MAGNETS PACK OF 4 SWALLOWS,-0.06684957445675406,2011-09-25 16:05:00,-0.12338249629186127,15154,United Kingdom,-0.07120378358266337,35
POPCORN HOLDER,-0.016663201675370314,2011-07-14 13:00:00,-0.10256599044638771,15005,United Kingdom,-0.04496382867026526,35
CAKE STAND 3 TIER MAGIC GARDEN,-0.06684957445675406,2011-05-04 12:32:00,0.4359479651212976,15128,United Kingdom,-0.031212927513953055,35
36 PENCILS TUBE SKULLS,0.01679438017888552,2011-10-28 08:34:00,-0.08446468101554117,13632,United Kingdom,-0.0077555078943616455,35
TRAVEL CARD WALLET VINTAGE TICKET,0.061404489317893295,2011-10-20 14:01:00,-0.12202489808454779,13761,United Kingdom,-0.03985172894627154,35
PACK OF 12 WOODLAND TISSUES ,-0.005510674390618371,2011-11-25 11:25:00,-0.12338249629186127,17348,United Kingdom,-0.05732346218017411,35
HOT WATER BOTTLE TEA AND SYMPATHY,-0.06127331081437809,2011-11-13 14:42:00,0.05129513971580809,15022,United Kingdom,-0.04496382867026526,35
SWALLOW WOODEN CHRISTMAS DECORATION,-0.06127331081437809,2011-11-27 12:13:00,-0.10256599044638771,17365,United Kingdom,-0.06696527052036479,35
JUMBO BAG PINK VINTAGE PAISLEY,-0.06684957445675406,2011-09-29 13:04:00,-0.04690446394653453,17528,United Kingdom,-0.06573577818168275,35
POPPY'S PLAYHOUSE KITCHEN,-0.038968256244874204,2011-03-15 10:49:00,-0.0459993984749922,15047,United Kingdom,-0.03169825343711701,35
3 STRIPEY MICE FELTCRAFT,0.027946907463637462,2010-12-10 15:45:00,-0.05278738951155967,16873,United Kingdom,0.04110063503747702,35
